,,open,high,low,close,volume
MMM,2021-01-29,182.13071,182.88000,175.82001,175.84531,1592219
MMM,2021-01-28,185.00000,186.58000,182.58000,183.42000,4151000
MMM,2021-01-27,177.31000,187.27000,177.16000,186.64999,8095600
MMM,2021-01-26,173.78000,176.84000,172.08000,175.95000,5147700
MMM,2021-01-25,168.88000,172.49001,168.22501,170.39000,3250374
MMM,2021-01-22,170.20000,170.20000,167.24001,169.03999,2348800
MMM,2021-01-21,170.22000,171.49001,169.39000,170.67000,2688200
MMM,2021-01-20,169.03999,170.58000,168.42999,170.22000,2672300
MMM,2021-01-19,167.25999,169.55000,166.80000,169.12000,3903171
MMM,2021-01-15,165.63000,166.25999,163.38000,165.55000,3550100
MMM,2021-01-14,167.27000,167.36000,165.23000,166.41000,2895000
MMM,2021-01-13,167.27000,167.74001,166.05000,166.28000,2096900
MMM,2021-01-12,165.89999,167.17999,164.08000,166.50999,2949100
MMM,2021-01-11,166.10001,167.14000,165.00000,165.20000,2555456
MMM,2021-01-08,169.17000,169.53999,164.61000,166.62000,4807700
MMM,2021-01-07,171.56000,173.46001,166.16000,169.72000,5861800
MMM,2021-01-06,172.72000,175.57001,172.03999,174.19000,3345800
MMM,2021-01-05,172.00999,173.25000,170.64999,171.58000,2291400
MMM,2021-01-04,175.00000,176.20000,170.55040,171.87000,2879429
MMM,2020-12-31,174.12000,174.87000,173.17999,174.78999,1840900
MMM,2020-12-30,173.88000,174.92000,173.38000,174.11000,1419100
MMM,2020-12-29,175.55000,175.64000,173.14999,173.85001,1218900
MMM,2020-12-28,175.31000,176.39999,174.39000,174.71001,1297484
MMM,2020-12-24,174.42000,174.78999,173.42000,174.52000,656200
MMM,2020-12-23,175.30000,175.81000,173.96001,173.99001,1762600
MMM,2020-12-22,175.05000,175.92999,174.17999,174.78000,1381200
MMM,2020-12-21,173.61000,176.12500,173.03380,175.66000,1576440
MMM,2020-12-18,176.66000,177.46001,175.14000,176.67000,2273188
MMM,2020-12-17,176.00000,177.44000,175.39000,176.60001,1645797
MMM,2020-12-16,174.61000,175.85001,174.35001,175.41000,1948900
MMM,2020-12-15,174.12000,175.05499,172.56000,174.77000,1703258
MMM,2020-12-14,175.67000,176.20000,172.99001,173.08000,3044720
MMM,2020-12-11,172.17081,174.64999,172.17081,174.02000,1473759
MMM,2020-12-10,174.87000,175.39999,172.69000,173.49001,2228800
MMM,2020-12-09,172.67000,175.64000,171.92999,175.28999,2790500
MMM,2020-12-08,169.70000,172.83000,169.70000,172.46001,1348930
MMM,2020-12-07,171.72000,172.50000,169.17999,170.14999,2214916
MMM,2020-12-04,172.38000,173.14999,171.53999,172.42999,1760516
MMM,2020-12-03,171.03999,173.39000,171.03999,171.83000,2377000
MMM,2020-12-02,170.25999,172.58000,170.22000,171.85001,2421800
MMM,2020-12-01,174.22000,175.69000,170.00999,170.52000,3859600
MMM,2020-11-30,175.77000,176.00000,172.70000,172.73000,5776078
MMM,2020-11-27,177.82001,179.63000,175.57001,176.89000,1267100
MMM,2020-11-25,176.84000,177.34000,175.45000,177.12000,2052200
MMM,2020-11-24,175.00000,177.22000,174.89999,177.08000,3086000
MMM,2020-11-23,173.75999,174.85500,173.45000,174.14000,1948537
MMM,2020-11-20,171.50000,172.95000,170.96001,172.89000,2656900
MMM,2020-11-19,170.57001,171.88000,169.30000,171.61000,2985200
MMM,2020-11-18,174.50000,174.70000,171.33000,171.39999,2615000
MMM,2020-11-17,173.03999,174.50000,170.86000,173.64000,2589900
MMM,2020-11-16,172.62000,173.89000,170.17999,173.86000,2353756
MMM,2020-11-13,167.92000,170.25000,167.37939,169.78999,1416166
MMM,2020-11-12,168.14999,169.19000,165.58000,167.05000,2216700
MMM,2020-11-11,170.73000,170.74001,167.60001,169.21001,2881400
MMM,2020-11-10,165.19000,169.27000,163.86000,169.14000,3499600
MMM,2020-11-09,174.13000,175.42999,163.14999,163.42999,4416098
MMM,2020-11-06,163.66000,164.30000,161.57001,163.02000,1685000
MMM,2020-11-05,162.16000,164.41000,162.02000,163.20000,2177300
MMM,2020-11-04,162.75000,165.30000,159.89999,160.16000,3139500
MMM,2020-11-03,164.86000,166.83000,163.74001,165.50999,1893700
MMM,2020-11-02,162.19000,163.42000,160.92999,162.94000,1917506
MMM,2020-10-30,158.33000,159.96001,157.00000,159.96001,2234500
MMM,2020-10-29,159.02000,160.17999,156.16370,158.50000,1833156
MMM,2020-10-28,159.81000,162.85001,158.12000,158.53000,3065100
MMM,2020-10-27,164.63000,164.98000,160.64999,161.03999,3521531
MMM,2020-10-26,167.67999,168.09000,164.39000,166.16000,3025099
MMM,2020-10-23,171.92000,172.17500,169.04500,169.81000,1431795
MMM,2020-10-22,169.64000,170.99001,168.39000,170.71001,1663200
MMM,2020-10-21,170.34000,172.11000,169.07001,169.17000,1510000
MMM,2020-10-20,170.50000,173.19000,169.99001,170.95000,1813000
MMM,2020-10-19,171.02000,172.35001,168.87000,169.55000,1910098
MMM,2020-10-16,169.94000,172.07001,169.22000,170.97000,2478600
MMM,2020-10-15,166.05000,169.67999,165.80000,169.08000,1638100
MMM,2020-10-14,167.30290,169.47000,167.30290,168.39999,1141636
MMM,2020-10-13,168.25000,169.39999,166.00000,166.63000,1337357
MMM,2020-10-12,169.47000,170.61000,168.12010,168.64999,1448360
MMM,2020-10-09,168.59000,170.48000,167.95000,169.25999,1734193
MMM,2020-10-08,167.25000,168.14999,166.12500,167.72000,1458777
MMM,2020-10-07,165.10001,167.75000,164.41000,166.49001,2155400
MMM,2020-10-06,163.44000,165.70000,161.83000,162.23000,2021900
MMM,2020-10-05,162.25000,163.50000,161.75999,162.75000,1456622
MMM,2020-10-02,156.74001,161.94000,156.25000,160.37000,1519949
MMM,2020-10-01,160.30000,161.82001,157.74001,158.73000,1590060
MMM,2020-09-30,160.92999,163.10001,158.61000,160.17999,3050300
MMM,2020-09-29,161.89000,161.95000,158.78000,159.81000,1569900
MMM,2020-09-28,162.00000,164.14000,161.33000,161.66000,1984430
MMM,2020-09-25,159.64000,160.98000,158.86000,160.34000,1410484
MMM,2020-09-24,159.42999,161.95500,158.07001,160.42999,1314214
MMM,2020-09-23,162.50999,164.24001,159.12000,159.50000,1476489
MMM,2020-09-22,161.00000,163.67000,160.42000,162.38000,1795128
MMM,2020-09-21,166.30000,166.64500,159.64999,161.34000,2885724
MMM,2020-09-18,171.96001,172.78000,169.47000,169.53999,2888457
MMM,2020-09-17,167.74001,173.18990,167.27499,172.39000,2235731
MMM,2020-09-16,166.50000,171.09000,166.50000,169.52000,2141014
MMM,2020-09-15,169.52000,169.91000,166.17010,166.57001,1755264
MMM,2020-09-14,167.58000,169.42000,166.42500,168.45000,1984185
MMM,2020-09-11,163.16000,166.69650,163.06000,166.17000,1405252
MMM,2020-09-10,165.53000,166.66499,162.75000,163.16000,1598806
MMM,2020-09-09,164.96001,167.27000,164.32001,165.70000,1846590
MMM,2020-09-08,165.60001,165.60001,161.89000,163.21001,2298353
MMM,2020-09-04,168.13000,169.09000,163.89999,165.70000,2578848
MMM,2020-09-03,169.96001,170.40860,164.99001,166.25000,2897142
MMM,2020-09-02,165.32001,170.00000,165.16000,169.50999,3367957
